City,Airport Code,Trip Distance(km), Total Distance(km)
Fuerteventura,FUE,60.315050,260358.067403
Gran Canaria,LPA,160.083318,260518.150721
Tenerife,TFN,111.833900,260629.984621
La Gomera,GMZ,99.247657,260729.232278
Altenrhein,ACH,3167.387039,263896.619317
Vienna,VIE,527.941830,264424.561146
Graz,GRZ,150.598964,264575.160110
Munich,MUC,312.674145,264887.834255
Nuernberg,NUE,137.723791,265025.558046
Zweibruecken,ZQW,267.412977,265292.971024
Palma de Mallorca,PMI,1135.530658,266428.501682
Menorca,MAH,132.078910,266560.580592
Barcelona,BCN,241.047296,266801.627888
Toulouse,TLS,265.846959,267067.474847
Nantes,NTE,455.449068,267522.923915
Bordeaux,BOD,267.597199,267790.521114
Rennes,RNS,368.754816,268159.275929
Exeter,EXT,320.246465,268479.522395
Newquai,NQY,116.332718,268595.855113
ST MARY\\'S,ISC,109.963823,268705.818936
Land's End,LEQ,49.892590,268755.711526
Alderney,ACI,251.371430,269007.082956
Guernsey,GCI,41.095911,269048.178868
Jersey,JER,38.794787,269086.973654
Southampton,SOU,202.766002,269289.739656
Manchester,MAN,274.491778,269564.231434
Isle Of Man,IOM,174.545071,269738.776505
Belfast,BHD,100.412335,269839.188840
Glasgow,GLA,166.620731,270005.809571
Campbeltown,CAL,92.296567,270098.106138
Nantucket,ACK,4817.548036,274915.654173
Vineyard Haven MA,MVY,48.850289,274964.504462
New Bedford,EWB,42.530759,275007.035221
White Plains,HPN,239.302925,275246.338146
Barnstable,HYA,293.715838,275540.053984
Achutupo,ACU,3688.571629,279228.625612
Panama,PAC,174.824235,279403.449847
Contadora Island,OTD,68.878167,279472.328014
Sinop,SIC,11287.344329,290759.672344
Arcata CA,ACV,10551.850855,301311.523199
Crescent City,CEC,89.829195,301401.352394
Xingyi,ACX,11023.682740,312425.035134
Guiyang,KWE,244.951493,312669.986627
Bijie,BFJ,157.783692,312827.770320
Chongqing,CKG,298.855374,313126.625694
Qianjiang,JIQ,212.750539,313339.376233
Chengdu,CTU,484.593404,313823.969637
Kangding,KGT,217.348543,314041.318179
Atlantic City,ACY,12264.848353,326306.166532
Myrtle Beach,MYR,750.595570,327056.762102
Charlotte,CLT,251.459298,327308.221401
Greenville,GSP,121.402074,327429.623475
Atlanta,ATL,246.580162,327676.203637
Macon,MCN,127.556813,327803.760451
Orlando,MCO,524.314786,328328.075236
Gainesville,GNV,168.542732,328496.617968
Tampa,TPA,192.346596,328688.964564
West Palm Beach,PBI,280.406985,328969.371549
Marsh Harbor,MHH,300.089324,329269.460873
Nassau,NAS,168.154317,329437.615189
North Eleuthera,ELH,92.442334,329530.057523
Fort Lauderdale,FLL,353.676158,329883.733682
Alice Town,BIM,98.033172,329981.766854
Adana,ADA,10250.580046,340232.346900
Nicosia,ECN,258.853737,340491.200637
Hatay,HTY,285.020911,340776.221549
Ankara,ESB,507.549040,341283.770589
Istanbul,SAW,323.124312,341606.894900
Balikesir Korfez,EDO,245.562293,341852.457193
Izmir,ADB,140.896348,341993.353541
Athens,ATH,283.806902,342277.160443
Syros Island,JSY,105.385693,342382.546136
Aden,ADE,3383.948418,345766.494554
Berbera,BBO,271.525314,346038.019868
Djibouti,JIB,233.257029,346271.276898
Hargeisa,HGA,247.436171,346518.713069
Mogadishu,MGQ,845.135223,347363.848291
Wajir,WJR,580.201990,347944.050281
Nairobi,NBO,488.831036,348432.881317
Kilimanjaro,JRO,235.215164,348668.096481
Mombasa,MBA,287.582690,348955.679171
Zanzibar,ZNZ,246.620512,349202.299684
Dar Es Salaam,DAR,72.994870,349275.294553
Mtwara,MYW,399.607937,349674.902490
Adiyaman,ADF,5348.167615,355023.070105
Adak Island,ADK,9484.256856,364507.326960
Anchorage,ANC,1913.255199,366420.582160
Kenai,ENA,95.058545,366515.640705
Adelaide,ADL,12371.762539,378887.403244
Kingscote,KGC,125.261647,379012.664891
Kodiak,ADQ,12254.303001,391266.967893
Ouzinkie,KOZ,19.230639,391286.198531
Port Lions,ORI,20.842359,391307.040890
Ardabil,ADU,9134.537000,400441.577890
San Andres Island,ADZ,12343.096028,412784.673918
Providencia,PVA,94.109762,412878.783680
Baise,AEB,15794.283391,428673.067071
Guilin,KWL,353.349041,429026.416112
Nanning,NNG,346.717956,429373.134069
Hanoi,HAN,288.651148,429661.785217
Vinh,VII,276.533888,429938.319105
Vientiane,VTE,338.354466,430276.673571
Phon Savan,XKH,174.193673,430450.867244
Buenos Aires,AEP,17542.326330,447993.193574
Montevideo,MVD,220.211845,448213.405419
Porto Alegre,POA,705.600842,448919.006261
Pelotas,PET,221.191467,449140.197728
Rio Grande,RIG,43.266787,449183.464515
Sochi,AER,12546.584017,461730.048532
Krasnodar,KRR,187.009058,461917.057590
Volgograd,VOG,572.636825,462489.694416
Rostov,ROV,376.895732,462866.590148
Belgorod,EGO,444.067084,463310.657232
Kazan,KZN,1008.253659,464318.910891
Ufa,UFA,435.509623,464754.420514
Tyumen,TJM,657.402476,465411.822991
Uraj,URJ,324.884200,465736.707190
Khanty-Mansiysk,HMA,254.402695,465991.109885
Nizhnevartovsk,NJC,398.814499,466389.924384
Omsk,OMS,690.826283,467080.750667
Tselinograd,TSE,455.624534,467536.375201
Pavlodar,PWQ,408.433743,467944.808945
Alma-ata,ALA,983.291865,468928.100810
Bishkek,FRU,210.216285,469138.317095
Osh,OSS,306.296722,469444.613817
Novosibirsk,OVB,1758.681519,471203.295337
Krasnoyarsk,KJA,630.158006,471833.453342
Tomsk,TOF,448.899371,472282.352714
Surgut,SGC,872.700275,473155.052988
Khudzhand,LBD,2362.865283,475517.918271
Orenburg,REN,1687.232435,477205.150707
St. Petersburg,LED,1792.920748,478998.071454
Helsinki,HEL,299.574324,479297.645778
Tallinn-ulemiste International,TLL,100.773216,479398.418995
Kuressaare,URE,187.608185,479586.027180
Alesund,AES,1017.470842,480603.498022
Bergen,BGO,256.496044,480859.994066
Haugesund,HAU,105.427439,480965.421505
Oslo,OSL,342.958823,481308.380328
Fagernes,VDB,134.641150,481443.021478
Allakaket,AET,5753.267031,487196.288509
Bettles,BTT,62.657264,487258.945773
Coldfoot,CXF,69.566148,487328.511922
Anaktuvuk Pass,AKP,118.300117,487446.812039
Fairbanks,FAI,407.149201,487853.961240
Healy,HKB,118.201836,487972.163076
Akureyri,AEY,5075.217432,493047.380508
Reykjavik,RKV,249.402347,493296.782856
Isafjordur,IFJ,221.559333,493518.342188
San Rafael,AFA,11840.216565,505358.558754
San Luis,LUQ,238.875244,505597.433998
Alta Floresta,AFL,2806.117655,508403.551652
Cuiaba,CGB,643.468147,509047.019799
Rondonopolis,ROO,182.513859,509229.533658
Sabzevar,AFZ,13053.976697,522283.510355
Agadir,AGA,6151.195195,528434.705550
Casablanca,CMN,379.946904,528814.652454
Rabat,RBA,108.624921,528923.277375
Madrid,MAD,769.611193,529692.888569
Logroño-Agoncillo,RJL,241.456798,529934.345367
Augsburg,AGB,1226.192133,531160.537500
Agen,AGF,923.240938,532083.778438
Castres,DCM,152.551300,532236.329737
Ajaccio,AJA,561.889870,532798.219608
Olbia,OLB,128.614936,532926.834543
Rome,FCO,249.368415,533176.202958
Naples,NAP,198.561944,533374.764902
Palermo,PMO,318.419363,533693.184266
Pantelleria,PNL,180.691397,533873.875663
Trapani,TPS,130.101659,534003.977322
Malta,MLA,288.893611,534292.870933
Catania,CTA,186.493326,534479.364259
Lampedusa,LMP,309.561389,534788.925648
Venice,VCE,1112.993757,535901.919405
Basel,BSL,435.495365,536337.414770
Montpellier,MPL,525.428788,536862.843557
Hahn,HHN,751.676916,537614.520473
Bergamo,BGY,508.994715,538123.515188
Pescara,PSR,507.755738,538631.270926
Milan,LIN,516.046144,539147.317071
Ronchi De Legionari,TRS,328.913460,539476.230531
Bari,BRI,584.844285,540061.074815
Tirana,TIA,249.236376,540310.311192
Ljubljana,LJU,681.010661,540991.321852
Sarajevo,SJJ,404.708861,541396.030714
Banja Luka,BNX,148.908176,541544.938890
Belgrade,BEG,237.670840,541782.609730
Podgorica,TGD,286.378099,542068.987830
Charleroi,CRL,1444.089136,543513.076966
Torino,TRN,631.352398,544144.429364
Alghero,AHO,510.679049,544655.108413
Pisa,PSA,380.982276,545036.090689
Cagliari,CAG,505.304924,545541.395613
Perugia,PEG,516.178916,546057.574529
Bucharest,OTP,1100.939171,547158.513700
Sofia,SOF,301.026323,547459.540023
Bourgas,BOJ,336.410277,547795.950300
Varna,VAR,77.869326,547873.819626
Ängelholm,AGH,1799.333798,549673.153424
Stockholm,BMA,454.326247,550127.479671
Visby,VBY,189.555795,550317.035466
Gothenborg,GSE,384.631904,550701.667370
Gdansk,GDN,556.534980,551258.202350
Warsaw,WMI,258.555959,551516.758309
Wroclaw,WRO,299.289102,551816.047411
Bologna,BLQ,840.795861,552656.843272
Zagreb,ZAG,398.168498,553055.011771
Rijeka,RJK,130.653625,553185.665395
Split,SPU,231.645893,553417.311288
Dubrovnik,DBV,193.505257,553610.816545
Osijek,OSI,325.506815,553936.323360
Angmagssalik,AGM,3999.548146,557935.871506
Kulusuk,KUS,23.603344,557959.474850
Sondrestrom,SFJ,626.475610,558585.950460
Sisimiut,JHS,132.353245,558718.303705
Aasiaat,JEG,198.736191,558917.039895
Ilulissat,JAV,90.151715,559007.191611
Uummannaq,JQA,178.116403,559185.308013
Angoon,AGN,3868.982690,563054.290704
Tenakee Springs,TKE,48.613139,563102.903843
Juneau,JNU,74.278661,563177.182504
Excursion Inlet,EXI,51.395787,563228.578291
Malaga,AGP,8505.721433,571734.299724
Melilla,MLN,208.172308,571942.472032
Almeria,LEI,181.726533,572124.198565
Sevilla,SVQ,318.753793,572442.952357
Lisbon,LIS,321.683095,572764.635452
Faro,FAO,221.668593,572986.304045
Jerez,XRY,172.142038,573158.446083
Cologne,CGN,1887.941988,575046.388071
Leipzig,LEJ,361.115448,575407.503519
Bremen,BRE,295.908499,575703.412018
Munster,FMO,125.866193,575829.278211
Gerona,GRO,1196.891497,577026.169708
Ibiza,IBZ,356.611794,577382.781502
Valencia,VLC,173.937209,577556.718712
Bilbao,BIO,469.732323,578026.451034
La Coruna,LCG,442.296077,578468.747111
Agra,AGR,7699.615545,586168.362656
Khajuraho,HJR,325.427576,586493.790232
Varanasi,VNS,304.333266,586798.123499
Kathmandu,KTM,352.217341,587150.340840
Bharatpur,BHR,91.563620,587241.904459
Bush Field,AGS,13076.700378,600318.604837
Ciudad del Este,AGT,7142.221052,607460.825889
Asuncion,ASU,269.927097,607730.752987
Santa Cruz,VVI,1024.869859,608755.622845
Sucre,SRE,273.147299,609028.770144
Cochabamba,CBB,199.764588,609228.534732
La Paz,LPB,236.894680,609465.429412
Rerrenabaque,RBQ,243.572437,609709.001849
Trinidad,TDD,280.980105,609989.981954
Riberalta,RIB,440.513563,610430.495517
Aguascalientes,AGU,5378.721768,615809.217286
Monterrey,MTY,505.685926,616314.903212
San Antonio,SAT,447.590128,616762.493340
Harlingen,HRL,376.152971,617138.646311
Austin,AUS,441.004806,617579.651117
Dallas,DAL,304.973745,617884.624862
Oklahoma City,OKC,291.370860,618175.995721
St. Louis,STL,741.788967,618917.784688
Quincy,UIN,150.512890,619068.297578
Agatti Island,AGX,14115.167446,633183.465024
Kochi,COK,466.834406,633650.299430
Calicut,CCJ,119.066573,633769.366003
Coimbatore,CJB,119.325076,633888.691079
Bangalore,BLR,224.044470,634112.735549
Mysore,MYQ,131.611325,634244.346874
Abha,AHB,3699.794596,637944.141469
Taif,TIF,422.871249,638367.012718
Kuwait,KWI,1138.573092,639505.585810
Ahwaz,AWZ,246.757862,639752.343672
Isfahan,IFN,331.691948,640084.035621
Bandar Mahshahr,MRX,353.976669,640438.012290
Ahe,AHE,17628.706326,658066.718616
Manihi,XMH,20.154264,658086.872880
Rangiroa,RGI,180.513436,658267.386317
Tikehau,TIH,63.901427,658331.287744
Papeete,PPT,308.439809,658639.727553
Moorea,MOZ,17.595373,658657.322926
Huahine Island,HUH,160.921337,658818.244263
Raiatea Island,RFP,47.472596,658865.716859
Bora Bora,BOB,43.406800,658909.123659
Maupiti,MAU,52.551002,658961.674661
Al Hociema,AHU,16253.537926,675215.212587
Alliance,AIA,8124.247299,683339.459886
Chadron,CDR,90.419869,683429.879756
Denver,DEN,356.121600,683786.001356
Colorado Springs,COS,117.429267,683903.430622
Seattle,SEA,1715.839036,685619.269658
Bellingham,BLI,150.369082,685769.638740
Portland,PDX,356.294218,686125.932958
Eugene,EUG,169.855253,686295.788211
Oakland,OAK,716.852728,687012.640939
Long Beach,LGB,568.355099,687580.996037
Sacramento,SMF,623.782238,688204.778275
Ontario,ONT,627.302000,688832.080275
Guadalajara,GDL,2059.133560,690891.213835
Puerto Vallarta,PVR,202.999174,691094.213009
Tijuana,TIJ,1756.884713,692851.097722
Hermosillo,HMO,682.877058,693533.974780
Ciudad Obregon,CEN,223.663243,693757.638023
Wainwright,AIN,5725.521717,699483.159740
Atqasuk,ATK,96.603518,699579.763257
Barrow,BRW,94.189367,699673.952624
Nuiqsut,NUI,242.568553,699916.521178
Deadhorse,SCC,95.683201,700012.204378
Barter Island,BTI,184.326062,700196.530440
Fort Yukon,FYU,401.962685,700598.493125
Chalkyitsik,CIK,67.176504,700665.669629
Aitutaki,AIT,9597.609582,710263.279212
Atiu Island,AIU,213.903099,710477.182311
Avarua,RAR,222.882543,710700.064855
Mangaia Island,MGS,211.117222,710911.182077
Al-Jawf,AJF,18014.457795,728925.639872
Agri,AJI,1129.378179,730055.018051
Aizwal,AJL,4958.822664,735013.840715
Imphal,IMF,158.099812,735171.940527
Silchar,IXS,94.180045,735266.120572
Guwahati,GAU,192.712036,735458.832608
Agartala,IXA,249.198124,735708.030732
Kolkata,CCU,316.553923,736024.584655
Dhaka,DAC,239.160780,736263.745436
Barisal,BZL,116.320927,736380.066363
Arvidsjaur,AJR,6841.083232,743221.149595
Lycksele,LYC,118.854548,743340.004142
Aracaju,AJU,9592.058562,752932.062704
Maceio,MCZ,215.425992,753147.488697
Recife,REC,181.089231,753328.577928
Natal,NAT,248.930733,753577.508661
Fernando Do Noronha,FEN,387.552065,753965.060726
Atka,AKB,13591.763544,767556.824270
Unalaska,DUT,544.742786,768101.567056
Akutan,KQA,55.885936,768157.452992
Kufra,AKF,11263.547885,779421.000877
Benghazi,BEN,929.535212,780350.536089
Misratah,MRA,490.626900,780841.162989
Sfax,SFA,484.594298,781325.757287
Tunis,TUN,240.847310,781566.604597
Monastir,MIR,130.401804,781697.006401
Akiak,AKI,9242.162453,790939.168854
Tuluksak,TLT,25.773564,790964.942418
Bethel,BET,58.690227,791023.632645
Kwethluk,KWT,21.436414,791045.069059
Asahikawa,AKJ,4104.645605,795149.714664
Tokyo,HND,931.076316,796080.790979
Oshima,OIM,93.746014,796174.536993
Akhiok,AKK,5440.062666,801614.599659
Auckland,AKL,10845.530873,812460.130532
Hamilton,HLZ,106.729822,812566.860354
Palmerston North,PMR,273.965579,812840.825933
Wellington,WLG,131.124670,812971.950604
Woodbourne,BHE,80.803595,813052.754199
Christchurch,CHC,245.075131,813297.829330
Hokitika,HKK,152.358775,813450.188106
King Salmon,AKN,11662.365084,825112.553189
South Naknek,WSN,20.606167,825133.159356
Egegik,EGX,61.415156,825194.574513
Aksu,AKU,7739.759133,832934.333646
Akulivik,AKV,8496.625334,841430.958980
Puvirnituq,YPX,97.609204,841528.568184
Inukjuak,YPH,181.191063,841709.759247
Umiujaq,YUD,234.509941,841944.269188
Kuujjuarapik,YGW,159.648760,842103.917948
Sanikiluaq,YSK,167.402139,842271.320088
Winnipeg,YWG,1400.061932,843671.382020
Kenora,YQK,206.695546,843878.077566
Dryden,YHD,116.263906,843994.341472
Sioux Lookout,YXL,67.704715,844062.046187
Red Lake,YRL,170.254685,844232.300872
Pikangikum,YPM,84.634010,844316.934882
Poplar Hill,YHP,37.945441,844354.880323
North Spirit Lake,YNO,96.863979,844451.744302
Aktyubinsk,AKX,8252.373535,852704.117837
Aktau,SCO,847.166212,853551.284049
Makhachkala,MCX,301.365610,853852.649659
Sittwe,AKY,4895.232429,858747.882087
Thandwe,SNW,238.759169,858986.641256
Yangon,RGN,259.898105,859246.539361
Chiang Mai,CNX,363.922002,859610.461364
Pai,PYY,87.060412,859697.521776
Alicante,ALC,9435.183621,869132.705397
Oran,ORN,295.643722,869428.349119
Béchar,CBH,467.919894,869896.269014
Alta,ALF,4548.973638,874445.242652
Lakselv,LKL,61.718123,874506.960775
Tromso,TOS,235.457753,874742.418528
Sorkjosen,SOJ,79.420210,874821.838738
Hammerfest,HFT,142.243211,874964.081949
Hasvik,HAA,60.462078,875024.544027
Waterloo,ALO,6408.880808,881433.424835
Alamosa,ALS,1278.698626,882712.123461
Farmington,FMN,223.360524,882935.483985
Show Low,SOW,318.755926,883254.239911
Walla Walla,ALW,1489.760701,884744.000612
Amarillo,AMA,1842.352756,886586.353369
Ahmedabad,AMD,13505.402406,900091.755774
Mumbai,BOM,444.166664,900535.922438
Pune,PNQ,124.197207,900660.119646
Goa,GOI,356.089600,901016.209245
Hyderabad,HYD,545.511862,901561.721107
Vijayawada,VGA,268.098963,901829.820070
Ambon,AMQ,5661.670777,907491.490847
Sorong,SOQ,457.478240,907948.969087
Fak Fak,FKQ,255.668664,908204.637751
Kaimana,KNG,177.863372,908382.501123
Nabire,NBX,202.218733,908584.719856
Jayapura,DJJ,564.339052,909149.058907
Wamena,WMX,242.328790,909391.387697
Antofagasta,ANF,15594.281562,924985.669259
Calama,CJC,189.676617,925175.345876
Copiapo,CPO,512.668213,925688.014089
La Serena,LSC,344.813476,926032.827565
Santiago,SCL,388.572994,926421.400559
Mendoza,MDZ,195.823703,926617.224262
